DT_EOL|ID|TransactionID|CreateDate|ModifyDate|Deleted|No|Currency|Name|Market|SumInclVAT|SumExclVAT|ItemsCount|SumInclVATCm|SumVATOnly|SumVATOnlyCm|SumExclVATCm|Discount
DT_EOL|d93d8e78-b354-4a2d-ad99-f0e1d7d7de08|1165224|27.1.2017 0:00:00|11.4.2017 13:00:42|0|121705411|EUR|Opravný daňový doklad k fa 121705135 placeno 3/4|sk|175,6300|146,4500|1|6,5000|29,1800|1,0800|5,4200|0,0000
DT_EOL|c1cc75ec-fe9a-4941-9cfc-43bace908f3f|1143730|27.1.2017 0:00:00|4.4.2017 10:10:46|0|131709539|PLN|VRATKA (ztraceny balik) Opravný daňový doklad k fa 131702007 (placeno mBank 1.2.17)|pl|682,3800|631,8200|1|109,9900|50,5600|8,1500|101,8400|0,0000
DT_EOL|a9440509-a41b-4933-940d-5a273a87b689|1167758|1.2.2017 0:00:00|15.6.2017 12:20:45|0|121706143|EUR|VRATKA CV  - Opravný daňový doklad k fa 121705503|sk|1864,3800|1553,6500|1|69,0000|310,7300|11,5000|57,5000|0,0000
DT_EOL|70df2637-f2ee-4fe9-86c9-e6e9691958ba|1136599|1.2.2017 0:00:00|11.5.2017 13:30:19|0|131710529|PLN|VRATKA/Opravný daňový doklad k fa 131700524|pl|3055,3800|2829,0700|3|499,0000|226,3100|36,9600|462,0400|0,0000
DT_EOL|d39ad454-c718-4907-a3d0-1dacc50c6f36|1144109|1.2.2017 0:00:00|4.5.2017 9:54:15|0|111721499|CZK|Opravný daňový doklad k fa 111709534|cz|5184,0000|4336,5200|11|5184,0000|847,4800|847,4800|4336,5200|0,0000
DT_EOL|2ca5c825-db4c-4b49-a2f9-3f61432b7ca4|1153556|1.2.2017 0:00:00|11.5.2017 13:30:18|0|131710545|PLN|Opravný daňový doklad k fa 131706516|pl|1292,2700|1050,6000|2|208,9700|241,6700|39,0800|169,8900|0,0000
DT_EOL|b993aa66-871e-42c7-bcba-4c6136162f94|1139384|1.2.2017 0:00:00|15.6.2017 12:08:48|0|111721665|CZK|Opravný daňový doklad k fa 111704212|cz|1469,0000|1325,5400|7|1469,0000|143,4600|143,4600|1325,5400|0,0000
DT_EOL|cae545ef-0fed-47b1-b937-fd5146dad2fe|911700198|8.2.2017 0:00:00|15.6.2017 17:06:07|0|111727339|CZK|VRATKA-Opravný daňový doklad k fa 111725663|cz|2214,0000|1996,1800|7|2214,0000|217,8200|217,8200|1996,1800|0,0000
DT_EOL|28511d50-5abb-4298-a633-95b2e8fc03b7|1169238|15.2.2017 0:00:00|4.5.2017 10:20:58|0|111732027|CZK|VRATKA-CV-Opravný daňový doklad k fa 111720074|cz|186,0000|153,7300|1|186,0000|32,2700|32,2700|153,7300|0,0000
DT_EOL|2dfa28fc-48c1-4bc5-83f1-881352e7300e|1176734|20.2.2017 0:00:00|11.5.2017 13:30:19|0|121710253|EUR|VRATKA-BD-Opravný daňový doklad k fa 121707698|sk|1463,9400|1219,9600|9|54,1800|243,9800|9,0300|45,1500|0,0000
DT_EOL|f61dd7d9-4243-4058-9b8c-a8aa2b8d6b6a|1182582|20.2.2017 0:00:00|11.5.2017 14:22:28|0|131715015|PLN|VRATKA - CV - Opravný daňový doklad k fa 131712673  (placeno mBank 9.3.17)|pl|212,4500|196,7200|2|33,9000|15,7300|2,5100|31,3900|0,0000
DT_EOL|1355f55c-e797-40b8-8882-21613ac87c12|1183740|20.2.2017 0:00:00|11.5.2017 13:30:18|0|131715144|PLN|VRATKA - POSKOZENY BALIK  - Opravný daňový doklad k fa 131713583|pl|1229,1100|1092,6000|4|196,2800|136,5100|21,8000|174,4800|0,0000
DT_EOL|8258a9fc-c4a1-40b6-9570-4939409dd9d9|1195891|24.2.2017 0:00:00|11.5.2017 14:22:28|0|131716242|PLN|Opravný daňový doklad k fa 131715493  (placeno mBank 9.3.17)|pl|210,6500|183,0300|2|33,7200|27,6200|4,4200|29,3000|0,0000
DT_EOL|41dfa326-e7d3-4661-a74c-c21c0810c87c|1182459|24.2.2017 0:00:00|11.5.2017 13:30:18|0|121711127|EUR|VRATKA-CV-Opravný daňový doklad k fa 121708510|sk|476,3600|396,9200|1|17,6300|79,4400|2,9400|14,6900|0,0000
DT_EOL|31658668-fbc3-4350-b178-c4de60eeebdc|1178887|24.2.2017 0:00:00|19.4.2017 11:03:57|0|121711162|EUR|VRATKA-CV-Opravný daňový doklad k fa 121707474 placeno 4/4|sk|1033,5200|861,1300|1|38,2500|172,3900|6,3800|31,8700|0,0000
DT_EOL|689f34f1-b5b7-4137-a062-b219766a656c|1184534|24.2.2017 0:00:00|11.5.2017 14:22:28|0|131716384|PLN|VRATKA Opravný daňový doklad k fa 131713011  (placeno mBank 9.3.17)|pl|138,5400|112,6500|1|22,1000|25,8900|4,1300|17,9700|0,0000
DT_EOL|8207b560-91e5-4158-8f57-f5fee944856d|1195351|27.2.2017 0:00:00|11.5.2017 14:22:28|0|131717110|PLN|Reklamamce - Opravný daňový doklad k fa 131715730  (placeno mBank 9.3.17)|pl|144,0300|117,1100|1|22,9500|26,9200|4,2900|18,6600|0,0000
DT_EOL|1d250feb-cd21-418f-8d14-0636c8b3f14c|1189663|27.2.2017 0:00:00|11.5.2017 14:22:28|0|131717127|PLN|Opravný daňový doklad k fa 131715371  (placeno mBank 9.3.17)|pl|60,4100|50,3500|2|9,6700|10,0600|1,6100|8,0600|0,0000
DT_EOL|2d9cc71e-6f11-4dc4-b539-50c7d7b5037d|1188684|27.2.2017 0:00:00|11.5.2017 13:30:19|0|121711491|EUR|VRATKA-Poškozený balík-ODPIS Opravný daňový doklad k fa 121709300|sk|3209,7100|2707,4000|14|118,7900|502,3100|18,5900|100,2000|0,0000
DT_EOL|bd756918-e5fb-4449-88f2-5dff04b1e3aa|706319|27.2.2017 0:00:00|3.4.2017 11:11:07|0|111739277|EUR|VRATKA - CV Opravný daňový doklad k fa 121533120 placeno 1/3|sk|2575,2200|2146,0200|1|95,2200|429,2000|15,8700|79,3500|0,0000
DT_EOL|e9186374-ff17-4cb4-bb22-24175715103e|1171741|27.2.2017 0:00:00|11.5.2017 14:22:28|0|131717321|PLN|VRATKA - CV -Opravný daňový doklad k fa 131710834   (placeno mBank 9.3.17)|pl|491,8000|399,8200|1|78,6000|91,9800|14,7000|63,9000|0,0000
DT_EOL|9d0bd00e-c52d-4ffd-a8ff-91021fda86f3|1193599|27.2.2017 0:00:00|11.5.2017 14:22:28|0|131717322|PLN|VRATKA - Opravný daňový doklad k fa 131714857 (placeno mBank 9.3.17)|pl|2988,4800|2429,6500|2|479,0000|558,8300|89,5700|389,4300|0,0000
DT_EOL|5e9304b4-c1a8-4755-83d4-fe7d1a937271|1181708|27.2.2017 0:00:00|20.4.2017 11:36:52|0|121711504|EUR|VRATKA-CV-Opravný daňový doklad k fa 121708072 placeno 1/3|sk|1396,3900|1163,4800|3|51,6800|232,9100|8,6200|43,0600|0,0000
DT_EOL|845a040b-098b-48e6-bf2e-36ffcc27ef94|1186299|27.2.2017 0:00:00|11.5.2017 14:22:28|0|131717323|PLN|VRATKA - CV - Opravný daňový doklad k fa 131713864  (placeno mBank 9.3.17)|pl|370,0700|300,8900|1|58,9000|69,1800|11,0100|47,8900|0,0000
DT_EOL|b0dcafec-1d59-4aaf-b84f-db2d3f4f235f|1186307|27.2.2017 0:00:00|6.6.2017 11:51:13|0|131717324|PLN|VRATKA - VYMENA - Opravný daňový doklad k fa 131713424|pl|827,4500|766,1400|2|131,9900|61,3100|9,7800|122,2100|0,0000
DT_EOL|a24f77e4-d2a0-4768-8dcd-6ea31f5fe98b|1188319|27.2.2017 0:00:00|11.5.2017 14:22:28|0|131717325|PLN|VRATKA - CV - Opravný daňový doklad k fa 131713788  (placeno mBank 9.3.17)|pl|807,1700|656,2600|1|128,9000|150,9100|24,1000|104,8000|0,0000
DT_EOL|7cbc4a99-714f-48bb-a985-fc2c3666e346|1182423|27.2.2017 0:00:00|3.4.2017 11:11:07|0|121711505|EUR|VRATKA-CV-Opravný daňový doklad k fa 121709007 placeno 1/3|sk|2402,0800|2001,6400|1|88,9000|400,4400|14,8200|74,0800|0,0000
